2 5.545351404469608e-02 9.743353280509540e-02
3 3.147558691134333e-02 4.337184977090662e-02
4 1.511750956298700e-02 1.695200734527697e-02
5 7.714592461029653e-03 8.530191425008550e-03
6 4.585340747841614e-03 3.559055341313129e-03
7 3.090881995058774e-03 1.439370506362592e-03
8 2.350640651948129e-03 6.254778404182008e-04
9 1.894400177218988e-03 2.661857425464878e-04
10 1.987802553272550e-03 1.079916134402714e-04
11 1.807668657139400e-03 4.321146328048915e-05
12 2.149792372173431e-03 1.815919109882377e-05
13 2.300466170010595e-03 7.753630704657790e-06
14 2.942806040144708e-03 3.163953846882090e-06
15 4.028870518630956e-03 1.290411340181233e-06
16 6.049606669020207e-03 5.928702185851883e-07
17 8.767552063566279e-03 1.831003363009708e-07
18 1.247788066639080e-02 8.334599132549113e-08
19 2.184221882536527e-02 4.870667608525476e-08
20 3.821765159939013e-02 1.301080453600083e-08
21 7.007602117476784e-02 7.182063241400140e-09
22 1.431522491775137e-01 2.306074012368479e-09
23 2.766112952552210e-01 1.435153116472808e-09
24 5.603209340353575e-01 4.529090110363562e-10
25 1.330498060027531e+00 2.056458712583408e-10
26 2.685380521984891e+00 8.521956001069945e-11
27 5.677163401125891e+00 3.638644975531855e-11
28 1.522800361842408e+01 1.464263892073853e-11
29 4.989330439811911e+01 3.985435831118737e-12
30 9.191177473781646e+01 1.554994803770365e-12
31 3.222154867502986e+02 8.785155954947750e-13
32 7.586199577902203e+02 1.978225443163846e-13
33 1.942105917163688e+03 6.672747400392096e-14
34 6.443660108563678e+03 3.539322892989990e-14
35 1.714750783658421e+04 2.656909871033994e-14
36 5.498342771083065e+04 4.748884333822132e-15
37 1.701679593811547e+05 2.810110982436634e-15
38 7.526136118411112e+05 7.360112169227634e-16
39 2.093376314944295e+06 8.865736248921177e-16
40 6.303394294036728e+06 1.896735170949217e-16
41 2.338446890146356e+07 6.115533969106472e-17
42 7.612761265170816e+07 2.080371236046000e-17
43 3.087175171116888e+08 2.118198597225289e-17
44 1.239369832004131e+09 4.253084057089219e-16
45 4.178492752478261e+09 7.198620296062160e-19
46 1.729320055487650e+10 3.839076619397522e-19
47 6.240038890642101e+10 1.431544975572995e-19
48 2.538227394965630e+11 6.829016258721649e-20
49 1.085175468941003e+12 7.907360574916100e-20
50 4.296852878500389e+12 1.653712982890609e-20
